protectedAreaName,protectedAreaType,state,wikipediaUrl,declared,area,district
Mangrove Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Mangrove_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.39,Andaman
Mask Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Mask_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.78,Andaman
Mayo Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Mayo_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.1,Andaman
Megapode Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Megapode_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.12,Nicobar
Montogemery Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Montogemery_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.21,Andaman
Narcondam Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Narcondam_Island,1987,6.81,Andaman
North Brother Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/North_Brother_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.75,Andaman
North Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/North_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.49,Andaman
North Reef Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/North_Reef_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,3.48,Andaman
Oliver Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Oliver_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.16,Andaman
Orchid Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Orchid_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.1,Andaman
Ox Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Ox_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.13,Andaman
Oyster Island‑I Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Oyster_Island‑I_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.08,Andaman
