wikidataId,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl
Q2985788,Neora Valley National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Neora%20valley1.png,IUCN category II: National Park,,,27.06,88.7,Kalimpong,Tentative World Heritage Site,,,,Neora Valley National Park,,https://en.wikipedia.org/wiki/Neora_Valley_National_Park
Q2989157,Nameri National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/NAMERI%20NATIONAL%20PARK%20%2C%20ASSAM%2C%20INDIA%2C%20Wild%20Life.jpg,IUCN category II: National Park,Sonitpur district,Assam,27.01,92.79,Barpeta Road,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nameri%20National%20Park%20banner.jpg,Nameri National Park,,https://en.wikipedia.org/wiki/Nameri_National_Park
Q2989176,Orang National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Greater%20one-horned%20rhinoceros.jpg,IUCN category II: National Park,Assam,Assam,26.61,92.36,,,492.46,,,Orang Tiger Reserve,,https://en.wikipedia.org/wiki/Orang_National_Park
Q3058213,Desert National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Desert%20National%20Park%20%2850861830528%29.jpg,IUCN category II: National Park,Barmer district; Jaisalmer district,Rajasthan,26.316666666,70.516666666,Jaisalmer; Barmer,Tentative World Heritage Site,3162,,,Desert National Park,,https://en.wikipedia.org/wiki/Desert_National_Park
Q3091762,Mount Manipur National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Centaur%20Oakblue%20andamans%20at%20Mt%20Harriet%20National%20Park.jpg,IUCN category II: National Park,Ferrargunj tehsil,Andaman and Nicobar Islands,11.8074,92.7571,,,46.62,,,Mount Harriet National Park,9282503,https://en.wikipedia.org/wiki/Mount_Harriet_National_Park
Q18110132,Balimela Wildlife Sanctuary,Wildlife Sanctuary,,,,Malkangiri district,Odisha,18.221411,82.105731,,,,,,,,https://en.wikipedia.org/wiki/Balimela_Wildlife_Sanctuary
Q18110145,Balukhand-Konark Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Odisha,Odisha,19.8619,86.0477,Puri,,,,,Balukhand-Konark Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Balukhand-Konark_Wildlife_Sanctuary
Q18111621,Debrigarh Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Bargarh district,Odisha,21.557097,83.646108,,,,,,,,https://en.wikipedia.org/wiki/Debrigarh_Wildlife_Sanctuary
Q18125400,Hadgarh Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Kendujhar district,Odisha,21.2934,86.2689,Bhadrak,,,,,,,https://en.wikipedia.org/wiki/Hadgarh_Wildlife_Sanctuary
Q18126911,Kondakameru Wildlife Sanctuary,Wildlife Sanctuary,,,,,,18.366719,81.982249,,,,,,,,https://en.wikipedia.org/wiki/Kondakameru_Wildlife_Sanctuary
