wikidataId,wikidataUrl,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,stateSuggestedQid,stateSuggestedLabel,stateConfidence,stateEvidence,quickstatement
Q3143047,https://www.wikidata.org/wiki/Q3143047,Mouling National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Tragopan%20blythii01.jpg,IUCN category II: National Park,,,28.58333333,94.86666667,,,,,,,,https://en.wikipedia.org/wiki/Mouling_National_Park,Q1162,Arunachal Pradesh,medium,"wikilink #6 in the lead, ""Arunachal Pradesh"" (Q1162), is an instance of Q12443800",Q3143047	P131	Q1162
Q3174875,https://www.wikidata.org/wiki/Q3174875,Nokrek National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Jhum%20cultivation%20in%20Nokrek%20Biosphere%20Reserve%20Meghalaya%20India%20Northeast%20India%202004.jpg,IUCN category II: National Park,,,25.53333333,90.11666667,,,,,,Nokrek National Park,,https://en.wikipedia.org/wiki/Nokrek_National_Park,Q1195,Meghalaya,medium,"wikilink #2 in the lead, ""Meghalaya"" (Q1195), is an instance of Q12443800",Q3174875	P131	Q1195
Q3174893,https://www.wikidata.org/wiki/Q3174893,Sri Venkateswara National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Sri%20Venkateswara%20National%20Park%20Tirumala%20Hills%2001.jpg,IUCN category II: National Park,,,13.7511,79.3378,Tirupati,,,,,Sri Venkateswara National Park,,https://en.wikipedia.org/wiki/Sri_Venkateswara_National_Park,Q1159,Andhra Pradesh,medium,"wikilink #2 in the lead, ""Andhra Pradesh"" (Q1159), is an instance of Q12443800",Q3174893	P131	Q1159
Q3326008,https://www.wikidata.org/wiki/Q3326008,Mount Abu Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nakki%20Lake%20from%20Mount%20Abu%20Wildlife%20Sanctuary.JPG,IUCN category IV: Habitat/Species Management Area,,,24.55,72.63333333,Aburaj,,,,,,,https://en.wikipedia.org/wiki/Mount_Abu_Wildlife_Sanctuary,Q1437,Rajasthan,medium,"wikilink #2 in the lead, ""Rajasthan"" (Q1437), is an instance of Q12443800",Q3326008	P131	Q1437
Q3330156,https://www.wikidata.org/wiki/Q3330156,Pampadum Shola National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Pampadumshola.jpg,IUCN category II: National Park,,,10.14388889,77.26694444,Marayur,,,,,Pampadum Shola National Park,,https://en.wikipedia.org/wiki/Pampadum_Shola_National_Park,Q1186,Kerala,low,"ambiguous: lead links to 2 different matching items (Q1186, Q1445); using the first, ""Kerala""",
Q7701533,https://www.wikidata.org/wiki/Q7701533,Terai Arc Landscape,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Terai_Arc_Landscape,,,none,no wikilink in the lead resolved to a matching item,
Q7786671,https://www.wikidata.org/wiki/Q7786671,Thol Lake,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thol%20Lake%20-%20Gujarat%2C%20India%20-%20Flickr%20-%20Emmanuel%20Dyan%20%2812%29.jpg,,,,23.140152,72.392701,,,,https://www.gujarattourism.com/central-zone/ahmedabad/thol-lake-sanctuary.html,,Thol Lake,,https://en.wikipedia.org/wiki/Thol_Lake,Q1061,Gujarat,medium,"wikilink #4 in the lead, ""Gujarat"" (Q1061), is an instance of Q12443800",Q7786671	P131	Q1061
Q7786672,https://www.wikidata.org/wiki/Q7786672,Thol Wildlife Sanctuary,Wildlife Sanctuary,,,,,,23.14,72.4,,,,,,,,https://en.wikipedia.org/wiki/Thol_Wildlife_Sanctuary,Q1061,Gujarat,medium,"wikilink #4 in the lead, ""Gujarat"" (Q1061), is an instance of Q12443800",Q7786672	P131	Q1061
Q7809473,https://www.wikidata.org/wiki/Q7809473,Tiruvidaimarudur Conservation Reserve,,,http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Egret%20%28Egretta%20garzetta%29-%20Breeding%20plumage-%20in%20Hyderabad%2C%20AP%20W%20IMG%207671.jpg,IUCN category V: Protected Landscape/Seascape,,,10.9944,79.4503,,,,,,,,https://en.wikipedia.org/wiki/Tiruvidaimarudur_Conservation_Reserve,Q1445,Tamil Nadu,medium,"wikilink #6 in the lead, ""Tamil Nadu"" (Q1445), is an instance of Q12443800",Q7809473	P131	Q1445
Q7901902,https://www.wikidata.org/wiki/Q7901902,Ushakothi Wildlife Sanctuary,Wildlife Sanctuary,,,,,,21.483333,84.283333,,,,,,,,https://en.wikipedia.org/wiki/Ushakothi_Wildlife_Sanctuary,,,none,no wikilink in the lead resolved to a matching item,
Q105806882,https://www.wikidata.org/wiki/Q105806882,Kottur Elephant Sanctuary and Rehabilitation Centre,Wildlife Sanctuary,,,,,,8.4,77.16,,,,,,,,https://en.wikipedia.org/wiki/Kottur_Elephant_Sanctuary_and_Rehabilitation_Centre,Q1186,Kerala,medium,"wikilink #2 in the lead, ""Kerala"" (Q1186), is an instance of Q12443800",Q105806882	P131	Q1186
Q7461605,https://www.wikidata.org/wiki/Q7461605,Shahgarh Landscape,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Shahgarh_Landscape,Q1437,Rajasthan,medium,"wikilink #3 in the lead, ""Rajasthan"" (Q1437), is an instance of Q12443800",Q7461605	P131	Q1437
